AFGHANISTAN;KARACHI;;;
ALBANIA;VORE;;;
ALGERIA;CONSTANTINE;;;
ALGERIA;HASSI MESSAOUD;;;
ALGERIA;ORAN;;;
ALGERIA;OUED SMAR;;;
ALGERIA;SETIF;;;
AMERICAN SAMOA;PAGO PAGO;;;
ANGOLA;LUANDA;;;
ANGOLA;MAIDENHEAD;;;
ARGENTINA;BUENOS AIRES;;;
ARGENTINA;CIPOLETTI;;;
ARGENTINA;COMODORO RIVADAVIA;;;
ARGENTINA;LOS NOGALES;;;
ARGENTINA;MAR DEL PLATA;;;
ARGENTINA;NEUQUEN;;;
ARGENTINA;POSADAS;;;
ARGENTINA;RESISTENCIA;;;
ARGENTINA;RIO GALLEGOS;;;
ARGENTINA;RIO GRANDE;;;
ARGENTINA;ROSARIO;;;
ARGENTINA;SALTA;;;
ARGENTINA;TORTUGUITAS;;;
ARMENIA;ABOVYAN ;;;
ARMENIA;EREVAN ;;;
ARMENIA;GNDEVAZ;;;
ARMENIA;KAJARAN;;;
ARMENIA;STEINHAUSEN;;;
ARMENIA;TEGHUT;;;
AUSTRALIA;ALBION PARK;;;
AUSTRALIA;ALEXANDRIA;;;
AUSTRALIA;ALICE SPRINGS;;;
AUSTRALIA;ARCHERFIELD;;;
AUSTRALIA;ASCOT;;;
AUSTRALIA;BALLINA;;;
AUSTRALIA;BERESFIELD;;;
AUSTRALIA;BERKELEY VALE;;;
AUSTRALIA;BERRIEDALE;;;
AUSTRALIA;BODDINGTON;;;
AUSTRALIA;BOOLAROO;;;
AUSTRALIA;BOULDER;;;
AUSTRALIA;BROKEN HILL;;;
AUSTRALIA;BROOKVALE;;;
AUSTRALIA;BROOME;;;
AUSTRALIA;BUNBURY;;;
AUSTRALIA;BUSSELTON;;;
AUSTRALIA;CABOOLTURE;;;
AUSTRALIA;CAIRNS;;;
AUSTRALIA;CAMPBELLTOWN;;;
AUSTRALIA;CANNINGTON;;;
AUSTRALIA;CARDIFF;;;
AUSTRALIA;CARINGBAH;;;
AUSTRALIA;CENTRAL QUEENSLAND MC;;;
AUSTRALIA;CLAYTON;;;
AUSTRALIA;CLYDE;;;
AUSTRALIA;COBAR;;;
AUSTRALIA;COFFS HARBOUR;;;
AUSTRALIA;COLLIE;;;
AUSTRALIA;DANDENONG SOUTH;;;
AUSTRALIA;DARWIN;;;
AUSTRALIA;DUBBO;;;
AUSTRALIA;EAST BENDIGO;;;
AUSTRALIA;EAST WAGGA WAGGA;;;
AUSTRALIA;EMERALD;;;
AUSTRALIA;ENFIELD;;;
AUSTRALIA;ESPERANCE;;;
AUSTRALIA;FORRESTFIELD;;;
AUSTRALIA;FYSHWICK;;;
AUSTRALIA;GARBUTT;;;
AUSTRALIA;GERALDTON;;;
AUSTRALIA;GIRRAWEEN;;;
AUSTRALIA;GLADSTONE;;;
AUSTRALIA;GOSFORD;;;
AUSTRALIA;GOVE;;;
AUSTRALIA;GRIFFITH;;;
AUSTRALIA;HAMILTON HILL;;;
AUSTRALIA;HOLBROOK;;;
AUSTRALIA;HOPETOUN;;;
AUSTRALIA;HORSHAM;;;
AUSTRALIA;HUME;;;
AUSTRALIA;INGLEBURN;;;
AUSTRALIA;KALGOORLIE;;;
AUSTRALIA;KAMBALDA;;;
AUSTRALIA;KARRATHA;;;
AUSTRALIA;KELSO;;;
AUSTRALIA;KEWDALE;;;
AUSTRALIA;KUNUNURRA;;;
AUSTRALIA;KWINANA;;;
AUSTRALIA;LAMBTON;;;
AUSTRALIA;LARAPINTA;;;
AUSTRALIA;LAVERTON;;;
AUSTRALIA;LAVINGTON;;;
AUSTRALIA;LEINSTER;;;
AUSTRALIA;LEONORA;;;
AUSTRALIA;LITHGOW;;;
AUSTRALIA;LIVERPOOL;;;
AUSTRALIA;MACKAY MC;;;
AUSTRALIA;MAITLAND;;;
AUSTRALIA;MANDURAH;;;
AUSTRALIA;MEEKATHARRA;;;
AUSTRALIA;MIDLAND;;;
AUSTRALIA;MILDURA;;;
AUSTRALIA;MOOREBANK;;;
AUSTRALIA;MOREE;;;
AUSTRALIA;MOUNT GAMBIER;;;
AUSTRALIA;MOUNT ISA;;;
AUSTRALIA;MT THORLEY;;;
AUSTRALIA;MULGRAVE;;;
AUSTRALIA;MUSWELLBROOK;;;
AUSTRALIA;NEWMAN;;;
AUSTRALIA;NORTH WOLLONGONG;;;
AUSTRALIA;OAKEY;;;
AUSTRALIA;ORANGE;;;
AUSTRALIA;OSBORNE PARK;;;
AUSTRALIA;PALMERSTON;;;
AUSTRALIA;PARKES;;;
AUSTRALIA;PENRITH;;;
AUSTRALIA;PINJARRA;;;
AUSTRALIA;PORT HEDLAND;;;
AUSTRALIA;PORT KEMBLA;;;
AUSTRALIA;PORT LINCOLN;;;
AUSTRALIA;PORT MACQUARIE;;;
AUSTRALIA;QUEANBEYAN;;;
AUSTRALIA;REGENCY PARK;;;
AUSTRALIA;REVESBY;;;
AUSTRALIA;ROCHERLEA;;;
AUSTRALIA;ROSEHILL;;;
AUSTRALIA;ROXBY DOWNS;;;
AUSTRALIA;SEVEN HILLS;;;
AUSTRALIA;SINGLETON;;;
AUSTRALIA;SOMERSET;;;
AUSTRALIA;SOUTH GEELONG;;;
AUSTRALIA;SOUTH GRAFTON;;;
AUSTRALIA;SOUTH LISMORE;;;
AUSTRALIA;SOUTH NOWRA;;;
AUSTRALIA;SOUTH TWEED HEADS;;;
AUSTRALIA;SUMNER PARK BC;;;
AUSTRALIA;SWAN HILL;;;
AUSTRALIA;SYDNEY;;;
AUSTRALIA;TAMINDA;;;
AUSTRALIA;TAMWORTH;;;
AUSTRALIA;TAYLORS BEACH;;;
AUSTRALIA;THORNTON;;;
AUSTRALIA;TOM PRICE;;;
AUSTRALIA;TOMAGO;;;
AUSTRALIA;TOOWOOMBA;;;
AUSTRALIA;TRARALGON;;;
AUSTRALIA;TUNCURRY;;;
AUSTRALIA;ULLADULLA;;;
AUSTRALIA;UNANDERRA;;;
AUSTRALIA;WAGGA WAGGA;;;
AUSTRALIA;WANNEROO;;;
AUSTRALIA;WAROONA;;;
AUSTRALIA;WEIPA;;;
AUSTRALIA;WELSHPOOL;;;
AUSTRALIA;WEST BURLEIGH;;;
AUSTRALIA;WETHERILL PARK;;;
AUSTRALIA;WHYALLA PLAYFORD;;;
AUSTRALIA;WILLOUGHBY;;;
AUSTRALIA;WINGFIELD;;;
AUSTRALIA;WODONGA;;;
AUSTRIA;FISCHAMEND;;;
AUSTRIA;INZING;;;
AUSTRIA;KALSDORF BEI GRAZ;;;
